No.,店舗名,電話番号,住所,定休日,ジャンル,座席・設備,営業時間,URL
37,ホテル雅叙園東京(ほてるがじょえんとうきょう),03-3491-4111,東京都目黒区下目黒１-８-１,毎週水曜日,カフェ,150席,[月・火・木・金・土・日・祝]11:30〜14:3017:30〜20:00LO19:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000856930/
38,パセリ(parsley),03-5487-2717,東京都品川区上大崎２-２６-５,,カフェ,,[月~金・祝前]ディナー:17:00〜23:00LO22:00[土・日・祝]ディナー:17:00〜24:00LO23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000104362/
39,めぐろ大黒屋(めぐろだいこくや),03-3493-5260,東京都目黒区目黒２-８-４,毎週日曜日祝日,カフェ,16席,ランチ:11:30〜14:00ディナー:17:30〜19:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000751264/
40,和の香(わのか),03-3493-6009,東京都品川区上大崎２-１８-２０中銀目黒駅前マンションB１F,毎週日曜日祝日,カフェ,22席,[月~金]ランチ:11:30〜14:00[月~金・土]ディナー:18:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000344371/
41,アルカション(ARCACHON),03-5487-1862,東京都品川区上大崎４-５-２０光真ビル１F,不定休毎週日曜日,カフェ,20席,[月~金・土・祝・祝前]11:30〜15:0017:30〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000015006/
42,川合鮮魚店(かわいせんぎょてん),03-3492-9539,東京都目黒区目黒１-４-８東レクビル１F,不定休店休日はお店に確認連休の場合は最終日が休み※貸切等のご相談などは、お電話にてお問い合わせください。,カフェ,18席（カウンター6席2名テーブル×2席4名テーブル×2席(2名テーブルを繋げて最大6名様可能)）,[月~金]ランチ:11:30〜15:00LO14:30[月~金・土]ディナー:18:00〜24:00LO23:30営業時間は日によって異なる場合あり※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000021448/
43,テオドーラ(THEODORA),050-5461-6001,東京都品川区上大崎２-１０-３２フラワープラザビル３F,不定休,カフェ,24席（テラス席6席合わせると30席ですが、案内出来る時期が限られる為、公式には24席との事）,[月~金]ランチ:11:30〜14:30LO13:30[月~金・土・日・祝]ディナー:18:00〜23:00[土・日・祝]ランチ:12:00〜14:30LO13:30ご予約がない場合はお店を閉めている場合もございます。ウォークインのお客様はご留意ください。※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000032356/
44,遊旬こだま(ゆうしゅんこだま),03-5423-0743,東京都品川区上大崎３-４-４,毎週日曜日祝日第1土曜日,カフェ,20席,[月~金・土]ランチ:11:30〜14:30ディナー:17:30〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000761571/
45,ポンペット(POMPETTE),03-6409-6816,東京都品川区上大崎１-１-１４１F,不定休定休日：月曜日を中心に月6日,カフェ,26席,[全日]ランチ:12:00〜14:30LO13:30ディナー:18:00〜23:00LO22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001311550/
46,デラッセ(Delasser),03-3445-2540,東京都品川区上大崎２-１３-４５,毎週月曜日不定休で他月２回定休日あり,カフェ,14席（テーブル8席）,[火~金・土・日]ディナー:18:00〜22:00[日]ランチ:12:00〜14:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000724334/
47,ブルースアレイジャパン(BLUESALLEYJAPAN),03-5496-4381,東京都目黒区目黒１-３-１４目黒ホテルレオンインターナショナルB１F,不定休・営業日は公演日程による,カフェ,100席（100～130席（公演により変動））,[全日]18:00〜23:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000718225/
48,穂むら(ほむら),03-3444-5637,東京都品川区上大崎２-１５-５長者丸ビル１F,毎週日曜日（毎週土曜日か月曜日どちらか定休）,カフェ,12席（3名個室あり）,[月~金・土・祝]18:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000725492/
49,旬味処ふきだまり目黒(しゅんみどころふきだまりめぐろ),03-6321-1858,東京都品川区上大崎２-２７-１サンフェリスタ目黒２F,毎週日曜日,カフェ,14席,[月~金・土]18:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000052710/
50,アイズバー(aizbar),050-5304-3127,東京都品川区上大崎２-２６-５メグロードビル２０６,不定休毎週日曜日,カフェ,8席（カウンター席のみ）,[月~金・土]18:00〜24:00LO23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000009317/
51,寿司芳(すしよし),03-3491-6253,東京都品川区上大崎２-２６-５,,カフェ,10席,,https://retty.me/area/PRE13/ARE13/SUB704/100000103444/
52,鮨立(すしたつ),03-5793-7101,東京都品川区上大崎３-６-１,毎週日曜日,カフェ,16席,[月~金]ランチ:11:30〜14:00[月~金・土・祝]ディナー:18:00〜23:00LO22:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001186098/
53,とらふぐ亭目黒店(とらふぐていめぐろてん),03-5740-6329,東京都目黒区目黒１-５-１５,無休,カフェ,65席,[月~金・土]17:00〜23:30LO22:30[日・祝]16:00〜23:30LO22:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000105931/
54,池田山(いけだやま),03-3449-2989,東京都品川区東五反田５-２１-１３中丸ビル１F,不定休,カフェ,22席,[全日]17:30〜22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB1303/100000703228/
55,染川(そめかわ),03-3444-1325,東京都品川区東五反田５-２１-１３,不定休,カフェ,10席,[全日]18:00〜23:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB1303/100001223685/
56,仁平(にへい),03-3779-1289,東京都目黒区下目黒２-２-１６,毎週月曜日,カフェ,12席,[火~金・土・日・祝・祝前]ランチ:12:00〜14:00ディナー:17:30〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000105690/
57,酒と肴ねこや(さけとさかなねこや),03-5496-2212,東京都目黒区目黒１-５-１６経研第一ビルB１F,毎週日曜日,カフェ,30席,[月~金]17:00〜24:00[土]17:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000819310/
58,炭火焼ささの(すみびやきささの),03-3449-9886,東京都品川区上大崎２-１４-３三笠ビル２皆,毎週月曜日,カフェ,17席,[火~金]18:00〜25:00[土・日・祝]17:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000724331/
59,よし祥(よししょう),03-3490-8548,東京都目黒区下目黒１-４-７,毎週日曜日土曜日昼休みディナーは18:00～お客がいなくなるまで,カフェ,25席,[月~金]ランチ:11:30〜14:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000105676/
60,リストランテ小林(りすとらんてこばやし),050-5461-1550,東京都目黒区下目黒２-１９-２３,不定休,カフェ,18席,[全日]ランチ:11:00〜15:30LO13:30ディナー:17:00〜22:00LO20:00詳しくは公式FBにて確認行政等からの要請により変更が生じる場合がございます。※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001234271/
61,バーリナホーン(BarRenaHorne),03-3445-8400,東京都港区白金台３-１７-５白金台間中ビルB１F,毎週日曜日,カフェ,16席（カウンター８席、テーブル4名×2席）,[月~金・土]19:00〜26:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE14/SUB1404/100000487030/
62,バーシバ(BARSHIBA),03-3492-3389,東京都目黒区目黒１-４-１０,,カフェ,,,https://retty.me/area/PRE13/ARE13/SUB704/100000106667/
63,うさぎ(うさぎ),03-3447-4477,東京都港区白金台５-１８-９,毎週土曜日毎週日曜日祝日,カフェ,19席,[月~金]17:30〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE14/SUB1404/100000069401/
64,ふぐ懐石料理九重(Kokonoe),03-3446-0007,東京都品川区上大崎２-１５-１５イタキビルB１,毎週日曜日4月～11月まで日祝休。12月～3月まで正月休み（12月30日～1月8日）除き無休,カフェ,40席,[月~金]11:30〜14:00[月~金・土・祝]17:00〜22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001174092/
65,目黒魚金(うおきん),03-3441-5501,東京都品川区上大崎３-１-１目黒セントラルスクエア１F,無休,カフェ,64席,[全日]11:30〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001406294/
66,リストランテカノビアーノ(RISTORANTECanovianoりすとらんてかのびあーの),050-5304-5546,東京都目黒区下目黒1-8-1,無休日によって貸切の場合あり,カフェ,66席（ホール席６６名/テラス席８名/個室１室(８名まで)）,[月~金]ランチ:11:30〜14:30LO14:30[月~金・土・日・祝]ディナー:17:30〜21:30LO21:30[土・日・祝]ランチ:11:30〜15:00LO15:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001336038/
67,ピッツェリア&トラットリアゴンゾー目黒店(ぴっつぇりああんどとらっとりあごんぞーめぐろてん),03-6721-6962,東京都品川区上大崎３-２-９アクア目黒１F,無休,カフェ,,[全日]11:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001506656/
68,ローカル(LocaleTokyo),03-6874-6719,東京都目黒区目黒１-１７-２２,毎週月曜日毎週火曜日,カフェ,,[水~金]ディナー:17:00〜23:00[土・日]ランチ:09:30〜14:00ディナー:18:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001384622/
69,AHILYA目黒店(アヒリヤメグロテン),03-6417-0876,東京都目黒区下目黒１-３-２８サンウッド目黒２F,無休5/1～5/5まで休業,カフェ,35席,[全日]ランチ:11:30〜15:00ディナー:17:30〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001403881/
70,ビストロトポロジー(Bistrotopology),03-6420-0136,東京都目黒区目黒１-２３-１５カスカ１F,毎週月曜日,カフェ,15席,※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001411612/
71,すし太(すした),03-3493-6757,東京都品川区上大崎２-２７-１,,カフェ,,,https://retty.me/area/PRE13/ARE13/SUB704/100001412740/
72,Laugh目黒店(らふめぐろてん),03-6303-0801,東京都目黒区下目黒３-４-３,7/12ー8/31まで酒類の提供中止、ディナー営業休業,カフェ,20席,月～日、祝日、祝前日:11:30～15:00（料理L.O.14:00ドリンクL.O.14:00）17:30～22:00（料理L.O.21:00ドリンクL.O.21:30）※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001585687/
73,焼肉ぽんがはなれ(やきにくぽんがはなれ),03-6450-2131,東京都品川区上大崎２-１４-９目黒東誠ビル２F,無休,カフェ,35席,[月~金]18:00〜24:00[土・日・祝]17:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001537093/
74,ビストロカニッシュ(BistroCaniche),03-6303-9287,東京都品川区上大崎２-１８-２５目黒三田フラワーマンション１F,不明,カフェ,22席,18:00～23:00LO※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001429896/
75,三代目だるま鮨(さんだいめだるまずし),03-3473-4715,東京都品川区上大崎２-１５-１９MG目黒駅前ビル２F,無休店休日はお店に確認,カフェ,48席,[火~金・土・日・祝]12:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001508484/
76,クロデグルメ(ClosDesGourmets),050-5461-9086,東京都港区白金台３-１８-４２F,毎週日曜日年末年始12/31～1/6はお休みを頂戴します。,カフェ,12席（テーブル10席カウンター2席）,[月]ディナー:18:00〜24:00LO23:00[火~金・土・日・祝・祝前]ランチ:12:00〜15:00ランチはご予約のみの営業となっております。※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE14/SUB1404/100001519712/
77,だるまや不動前店(だるまやふどうまえてん),03-6712-2949,東京都目黒区下目黒３-８-１,不定休,カフェ,14席,[全日]18:00〜20:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001482347/
78,BarDove(バードーヴ),03-6417-4045,東京都品川区上大崎４-３-６同潤社ビル,毎週火曜日祝日,カフェ,,[月・水~金・土・日]15:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001349540/
79,炉端と酒きいと(KIITOMEGUROろばたとさけきいと),03-6277-3337,東京都品川区上大崎２-１４-３B１F-D,毎週日曜日,カフェ,15席（カウンターと４名席テーブル）,[月~金・土・祝・祝前]17:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001594676/
80,アルコザ・ガーデン(あるこざがーでん),050-3491-2359,東京都目黒区下目黒１-８-１アルコタワー内２F,毎週土曜日毎週日曜日,カフェ,,[月~金]09:30〜20:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001431521/
